
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
OLD       01-000639 O US AL ATHENS           34 48 26.67N 086 56 33.76W TOWER              1 00401 01078 D 2 C N 2019ASO33775OE C2020058 
NEW       01-000639 O US AL ATHENS           34 48 26.67N 086 56 33.76W TOWER              1 00401 01078 D 2 C N 2024ASO12967OE C2024330 
OLD       01-000858 O US AL DECATUR          34 40 14.00N 087 04 33.00W T-L TWR            2 00316 00876 R 4 D N                C2014138 
NEW       01-000858 O US AL DECATUR          34 40 14.00N 087 04 33.00W T-L TWR            1 00235 00797 R 4 D N                C2025008 
OLD       01-000912 O US AL ODENVILLE        33 39 23.00N 086 22 10.00W TOWER              1 00308 01353 R 1 C M 1989ASO01859OE C2014138 
NEW       01-000912 O US AL ODENVILLE        33 39 23.37N 086 22 11.04W TOWER              1 00308 01345 R 1 A P 2024ASO17840OE C2024361 
OLD       01-001022 O US AL UNION SPRINGS    32 08 41.00N 085 42 51.00W TOWER              1 00239 00762 D 5 D N 2004ASO05702OE C2007056 
NEW       01-001022 O US AL UNION SPRINGS    32 08 39.81N 085 42 51.73W TOWER              1 00239 00760 D 2 C N 2024ASO18844OE C2024362 
OLD       01-001208 O US AL TRINITY          34 34 48.00N 087 05 20.40W TOWER              1 00400 01220 R 5 D P 2005ASO03365OE C2011049 
NEW       01-001208 O US AL TRINITY          34 34 50.30N 087 05 23.08W TOWER              1 00400 01180 R 4 D P 2024ASO16882OE C2024331 
OLD       01-001223 O US AL ATTLALLA         34 01 58.07N 086 04 16.40W TOWER              1 00197 01172 N 1 A N 2014ASO03539OE C2017142 
NEW       01-001223 O US AL GADSDEN          34 01 58.07N 086 04 16.40W TOWER              1 00197 01172 N 1 A N 2024ASO03862OE C2024337 
OLD       01-001257 O US AL TROY             31 47 35.46N 085 58 20.10W TOWER              1 00346 00860 D 4 D N 2024ASO06085OE C2024170 
NEW       01-001257 O US AL TROY             31 47 35.46N 085 58 20.10W TOWER              1 00346 00860 D 4 D N 2024ASO14818OE C2024330 
OLD       01-001278 O US AL CHEROKEE         34 43 46.00N 087 54 52.20W TOWER              1 00298 01198 D 4 D N 2018ASO15863OE C2018319 
NEW       01-001278 O US AL CHEROKEE         34 43 46.00N 087 54 52.40W TOWER              1 00289 01189 D 4 D N 2024ASO18486OE C2024362 
OLD       01-001406 O US AL ROCK SPRINGS     33 55 57.30N 085 54 12.80W TOWER              1 00338 01495 D 5 E N 2003ASO07391OE C2004166 
NEW       01-001406 O US AL GADSDEN          33 55 57.35N 085 54 12.88W TOWER              1 00338 01495 D 4 D N 2024ASO17164OE C2024338 
OLD       01-001446 O US AL LOFLIN           32 11 23.39N 085 02 55.52W TOWER              1 00260 00742 D 3 C N 2005ASO05459OE C2007021 
NEW       01-001446 O US AL LOFLIN           32 11 23.39N 085 02 55.52W TOWER              1 00267 00749 D 3 C N 2024ASO12504OE C2024330 
OLD       01-001533 O US AL CITRONELLE       31 05 57.15N 088 13 04.68W TOWER              1 00298 00563 M 1 A N 2014ASO08630OE C2015201 
NEW       01-001533 O US AL CITRONELLE       31 05 57.15N 088 13 04.68W TOWER              1 00298 00563 M 1 A N 2024ASO19266OE C2024362 
OLD       01-001582 O US AL STEELE           33 58 32.67N 086 12 04.14W TOWER              1 00278 01757 M 2 C N 2010ASO00463OE C2010061 
NEW       01-001582 O US AL STEELE           33 58 32.67N 086 12 04.14W TOWER              1 00278 01757 M 2 C N 2024ASO18380OE C2024362 
OLD       01-001645 O US AL SPRAGUE          32 09 39.64N 086 16 49.34W TOWER              1 00265 00516 D 4 D N 2018ASO09052OE C2020052 
NEW       01-001645 O US AL MONTGOMERY       32 09 39.64N 086 16 49.34W TOWER              1 00265 00516 D 4 D N 2024ASO14252OE C2024330 
OLD       01-001646 O US AL CEDAR BLUFF      34 12 57.18N 085 41 27.24W TOWER              1 00305 01195 D 1 A N 2012ASO07725OE C2017048 
NEW       01-001646 O US AL CENTRE           34 12 57.18N 085 41 27.24W TOWER              1 00308 01198 D 1 A N 2024ASO17458OE C2024338 
OLD       01-001908 O US AL KILLEN           34 52 16.64N 087 28 54.33W TOWER              1 00298 00998 D 4 D N 2017ASO17164OE C2017271 
NEW       01-001908 O US AL KILLEN           34 52 16.64N 087 28 54.33W TOWER              1 00298 00998 D 4 D N 2024ASO17088OE C2024331 
OLD       01-001973 O US AL CASTLEBERRY      31 21 14.82N 087 04 22.29W TOWER              1 00259 00602 D 1 A N 2002ASO05951OE C2004123 
NEW       01-001973 O US AL CASTLEBERRY      31 21 14.82N 087 04 22.29W TOWER              1 00255 00598 D 1 A N 2024ASO13967OE C2024330 
OLD       01-002003 O US AL SYLVANIA         34 33 19.41N 085 49 15.49W TOWER              1 00316 01696 D 1 A N 2009ASO06471OE C2009352 
